ref	value	footprint
C1	0.1uF	SM0805
C2	10uF/9V	SM1206
C3	10pF	SM0805
C4	0.1uF	SM0805
C5	10uF/9V	SM1206
C6	0.1uF	SM0805
C7	10uF/9V	SM1206
C8	0.1uF	SM0805
C9	1uF/9V	SM1206
CON6_1	CONN_6	SIL-6
CON8_2	CONN_8	SIL-8
CONN10_1	CONN_10	SIL-10
CONN8_1	CONN_8	SIL-8
D1	LED GREEN	SM0805
D2	LED GREEN	SM0805
D3	LED GREEN	SM0805
J1	SMA_TH	SMA-SMB_right_angle
J2	SMA_TH	SMA-SMB_right_angle
J3	SMA_TH	SMA-SMB_right_angle
J4	SIL10	SIL-10
K1	CONN_3	SIL-3
P1	CONN_4	~
R1	0R0	SM0805
R2	0R0	SM0805
R3	4K7	SM0805
R4	4K7	SM0805
R5	47K	SM0805
R6	220R	SM0805
R7	220R	SM0805
R8	0R	SM0805
R9	0R	SM0805
R10	0R	SM0805
R11	0R	SM0805
R12	10K	SM0805
R13	1K	SM0805
R15	220R	SM0805
U1	LEA-7X	LEA-xx
U2	MAX-7X	MAX-xx
U3	RFM12	RFM12
U4	TD1202	TD1202
